City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,wailua homesteads,22.0669,-159.378,24.44,86,75,4.12,US,1689527272
84,bacalar,18.6667,-88.3833,32.06,66,75,5.14,MX,1689527273
85,chui,-33.6971,-53.4616,12.31,53,16,5.18,UY,1689527273
86,thompson,55.7435,-97.8558,11.94,78,100,3.2,CA,1689527273
87,markovo,57.3206,107.0881,16.52,97,67,1.92,RU,1689527273
88,kajuru,10.3192,7.6892,26.44,71,26,1.28,NG,1689527273
89,geneina,13.45,22.45,34.95,23,41,1.64,SD,1689527273
90,uturoa,-16.7333,-151.4333,25.59,63,0,4.25,PF,1689527273
91,west island,-12.1568,96.8225,25.99,73,100,6.69,CC,1689527273
92,safaga,26.7292,33.9365,32.11,49,0,0.48,EG,1689527274
93,wuyishan,28.0047,117.8114,25.47,89,100,2.59,CN,1689527274
94,udachny,66.4167,112.4,10.56,52,100,3.65,RU,1689527274
95,maputo,-25.9653,32.5892,19.82,52,20,2.06,MZ,1689527274
96,ust'-kulom,61.6864,53.6902,18.28,61,96,0.42,RU,1689527274
97,el calafate,-50.3408,-72.2768,-1.21,74,2,2.01,AR,1689527274
98,qaqortoq,60.7167,-46.0333,5.83,95,98,2.45,GL,1689527274
99,katsuren-haebaru,26.3369,127.8719,27.43,88,75,7.72,JP,1689527275
100,hithadhoo,-0.6,73.0833,27.89,74,3,0.98,MV,1689527275
101,isafjordur,66.0755,-23.124,10.02,71,0,7.72,IS,1689527275
102,castillos,-34.1667,-53.8333,12.71,48,16,5.5,UY,1689527275
103,punta arenas,-53.15,-70.9167,3.06,87,75,6.17,CL,1689527146
104,isangel,-19.55,169.2667,21.8,74,30,8.2,VU,1689527275
105,afaahiti,-17.75,-149.2833,20.93,60,0,2.61,PF,1689527275
106,antonio enes,-16.2325,39.9086,22.77,70,5,5.51,MZ,1689527275
107,gaiman,-43.2897,-65.4929,6.21,34,3,8.42,AR,1689527276
108,hamilton,39.1834,-84.5333,29.03,66,0,4.63,US,1689527150
109,dese,11.1333,39.6333,17.13,67,75,1.78,ET,1689527276
110,badger,64.8,-147.5333,16.95,79,20,2.57,US,1689527276
111,polyarnyy,69.1989,33.4478,15.46,75,70,2.24,RU,1689527276
112,port elizabeth,-33.918,25.5701,14.5,64,83,1.87,ZA,1689527276
113,opuwo,-18.0607,13.84,21.98,23,0,4.34,NA,1689527276
114,rawlins,41.7911,-107.2387,25.94,22,0,6.69,US,1689527100
115,hammerfest,70.6634,23.6821,18.25,63,0,6.69,NO,1689527277
116,kuluncak,38.8828,37.6728,19.56,58,0,7.67,TR,1689527277
117,gulf shores,30.246,-87.7008,34.08,62,0,5.14,US,1689527277
118,eraan,9.0629,117.7016,26.77,82,98,4.46,PH,1689527277
119,rio grande,-32.035,-52.0986,16.06,57,1,5.97,BR,1689527277
120,bredasdorp,-34.5322,20.0403,14.71,79,95,2.53,ZA,1689527277
121,box elder,41.5005,-112.8764,25.08,37,0,2.45,US,1689527277
122,las terrenas,19.311,-69.5428,31.93,74,40,3.09,DO,1689527278
123,tolanaro,-25.0319,46.9987,19.18,78,0,4.82,MG,1689527278
124,mount pearl,47.5166,-52.7813,26.92,72,100,0.45,CA,1689527278
125,sinabang,2.4803,96.3801,26.32,83,75,1.68,ID,1689527278
126,cascavel,-24.9558,-53.4553,15.91,63,85,2.1,BR,1689527278
127,college,64.8569,-147.8028,16.99,78,75,2.57,US,1689527278
128,union city,37.5958,-122.0192,35.34,59,0,3.6,US,1689527221
129,haiku-pauwela,20.9219,-156.3051,24.47,77,40,2.57,US,1689527279
130,pierre,44.3683,-100.351,26.51,41,75,4.92,US,1689527279
131,tazacorte,28.629,-17.9293,25.64,66,20,7.72,ES,1689527279
132,bokoro,12.3807,17.0568,35.08,37,17,1.81,TD,1689527279
133,melekeok village,7.4957,134.6367,27.78,82,100,5.55,PW,1689527279
134,al hufuf,25.3646,49.5653,36.26,21,5,4.44,SA,1689527279
135,iqaluit,63.7506,-68.5145,8.85,93,100,3.09,CA,1689527279
136,tofol,5.3248,163.0078,27.65,81,98,6.47,FM,1689527279
137,bandarbeyla,9.4942,50.8122,24.45,80,68,12.79,SO,1689527280
138,taoudenni,22.6783,-3.9836,43.61,14,80,4.58,ML,1689527280
139,bucerias,20.75,-105.3333,31.66,89,75,2.06,MX,1689527280
140,griffith,41.5284,-87.4237,27.28,57,0,3.6,US,1689527280
141,enewetak,11.3474,162.3373,28.03,80,98,6.5,MH,1689527280
142,howard springs,-12.497,131.047,24.9,67,27,1.56,AU,1689527280
143,kasempa,-13.4584,25.8338,17.01,35,2,2.41,ZM,1689527280
144,kalibo (poblacion),11.7061,122.3644,24.54,81,85,2.55,PH,1689527281
145,bikenibeu village,1.3673,173.1241,28.41,74,38,3.99,KI,1689527281
146,eaglehawk,-36.7333,144.25,1.43,51,0,0.94,AU,1689527281
147,irymple,-34.25,142.1667,6.27,79,0,2.4,AU,1689527281
148,kone,-21.0595,164.8658,19.01,64,73,2.4,NC,1689527282
149,al jubayl,27.0112,49.6583,33.96,49,2,3.02,SA,1689527282
150,mount isa,-20.7333,139.5,17.87,72,100,1.54,AU,1689527282
151,abepura,-2.6333,140.5833,24.45,88,20,5.14,ID,1689527282
152,kuytun,54.3419,101.5036,15.91,97,100,3.46,RU,1689527282
153,jamestown,42.097,-79.2353,25.57,72,75,3.09,US,1689527283
154,gualeguay,-33.1416,-59.3097,11.3,52,68,3.22,AR,1689527283
155,nuuk,64.1835,-51.7216,8.34,100,100,2.57,GL,1689527260
156,hasaki,35.7333,140.8333,25.22,88,39,2.08,JP,1689527283
157,iskateley,67.6803,53.1512,19.19,74,41,4.59,RU,1689527283
158,acapulco de juarez,16.8634,-99.8901,31.9,66,75,2.06,MX,1689527149
159,tynda,55.1667,124.7167,16.54,82,64,0.53,RU,1689527284
160,quelimane,-17.8786,36.8883,18.81,75,1,2.34,MZ,1689527284
161,san patricio,28.017,-97.5169,36.15,34,20,4.47,US,1689527284
162,lerwick,60.1545,-1.1494,13.0,82,86,4.74,GB,1689527285
163,basco,20.4487,121.9702,29.07,78,99,2.94,PH,1689527285
164,labrador city,52.9463,-66.9114,24.78,46,96,3.66,CA,1689527285
165,klyuchi,52.2667,79.1667,17.05,69,26,5.13,RU,1689527285
166,gokwe,-18.2048,28.9349,13.89,35,0,1.61,ZW,1689527285
167,dolinsk,47.35,142.8,11.88,97,100,0.93,RU,1689527285
168,san antonio de pale,-1.4014,5.6325,23.15,80,10,5.15,GQ,1689527286
169,pulandian,39.3953,121.9669,20.29,81,1,1.41,CN,1689527286
170,talara,-4.5772,-81.2719,28.42,65,0,9.26,PE,1689527286
171,salinas,36.6777,-121.6555,25.34,66,0,2.57,US,1689527286
172,cedeira,43.6797,-8.0209,20.15,69,9,4.17,ES,1689527286
173,petropavlovsk-kamchatsky,53.0452,158.6483,10.02,97,82,0.39,RU,1689527286
174,male,4.1748,73.5089,28.85,74,71,5.94,MV,1689527287
175,macapa,0.0389,-51.0664,32.99,58,20,5.66,BR,1689527287
176,crane,31.3974,-102.3501,34.42,23,20,6.65,US,1689527287
177,gombi,10.1614,12.7399,29.88,48,59,0.28,NG,1689527287
178,nemuro,43.3236,145.575,12.66,94,99,2.23,JP,1689527287
179,nuku'alofa,-21.1333,-175.2,20.19,77,20,4.12,TO,1689527288
180,najran,17.4924,44.1277,32.65,11,38,3.26,SA,1689527288
181,ad darb,17.7229,42.2526,35.42,35,7,8.54,SA,1689527288
182,ta`u,-14.2336,-169.5144,26.66,79,100,8.74,AS,1689527288
183,vadso,70.0744,29.7487,20.49,82,0,7.2,NO,1689527289
184,fale old settlement,-9.3852,-171.2468,28.04,76,99,6.98,TK,1689527289
185,general mosconi,-23.1851,-62.303,17.56,44,100,2.65,AR,1689527289
186,hotan,37.0997,79.9269,32.65,14,56,4.14,CN,1689527289
187,peniche,39.3558,-9.3811,24.05,69,50,8.98,PT,1689527290
188,val-d'or,48.1002,-77.7828,20.7,87,81,2.22,CA,1689527290
189,kolonia,50.9333,6.95,25.59,37,0,4.63,DE,1689527136
190,belmonte,-15.8631,-38.8828,24.66,77,29,4.4,BR,1689527290
191,osorno,-40.5667,-73.15,8.17,76,75,3.09,CL,1689527112
192,kill devil hills,36.0307,-75.676,30.01,82,40,10.29,US,1689527291
193,porto empedocle,37.2934,13.5264,39.06,44,0,2.65,IT,1689527291
